roll_number,name,section,attendance,CSIT-601 SE-Prof. Vivek Rawal,CSIT-602 ML-Prof. Jayram Dwivedi,CSIT-603(B) CGM-Prof. Rabiya Hanfi,CSIT-604(B) CRYPTOGRAPHY-Prof. Abhishek Chauhan
0133CI231001,AARBI DHAKAD,A,Present,45,48,42,38
0133CI231002,ABHISHEK KUMAR,A,Present,35,40,38,42
0133CI231003,ADITYA KUMAR SHAH,A,Present,50,45,48,50
0133CI231004,AMANJEET SINGH,A,Absent,42,41,40,39
0133CI231005,ANJALI SHRIVASTAVA,A,Present,38,36,32,28
0133CI231006,ARJUN DUBEY,A,Present,55,52,50,48
0133CI231007,AYUSHI PATEL,A,Present,25,30,28,35
0133CI231008,BHAVESH SHARMA,A,Present,48,46,44,50
0133CI231009,CHIRAG VERMA,A,Present,41,39,37,41
0133CI231010,DEEPAK NEGI,A,Present,60,58,55,52
